<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
TRNFP;D;17/11/25;00:00;1249.4;129457
TRNFP;D;18/11/25;00:00;1244.6;375162
TRNFP;D;19/11/25;00:00;1250.6;479493
TRNFP;D;20/11/25;00:00;1275.6;743814
TRNFP;D;21/11/25;00:00;1306.6;834406
TRNFP;D;22/11/25;00:00;1291.8;498502
TRNFP;D;25/11/25;00:00;1283.4;405068
TRNFP;D;26/11/25;00:00;1305;582938
TRNFP;D;27/11/25;00:00;1313;596883
TRNFP;D;28/11/25;00:00;1299;353702
TRNFP;D;29/11/25;00:00;1318;366374
TRNFP;D;30/11/25;00:00;1313.6;21085
TRNFP;D;01/12/25;00:00;1321.8;24412
TRNFP;D;02/12/25;00:00;1329.6;569842
TRNFP;D;03/12/25;00:00;1326.2;379158
TRNFP;D;04/12/25;00:00;1321.6;468699
TRNFP;D;05/12/25;00:00;1325.2;171026
TRNFP;D;06/12/25;00:00;1342.8;425172
TRNFP;D;09/12/25;00:00;1343.2;342927
TRNFP;D;10/12/25;00:00;1358.4;249318
TRNFP;D;11/12/25;00:00;1352.6;341518
TRNFP;D;12/12/25;00:00;1350.4;500007
TRNFP;D;13/12/25;00:00;1327.2;475266
TRNFP;D;14/12/25;00:00;1335;20268
TRNFP;D;15/12/25;00:00;1327.2;20252
TRNFP;D;16/12/25;00:00;1338.6;446060
TRNFP;D;17/12/25;00:00;1354.4;368939
